Name                 | Val 1               | Val 2               | Results             
Lanita               | 64687               | 8711                | 7.426
Vivie                | 57020               | 1423                | 40.070
Urbano               | 81139               | 1123                | 72.252
Cullen               | 69858               | 2056                | 33.978
Isidor               | 66294               | 2341                | 28.319
Corene               | 77219               | 2241                | 34.457
Gretna               | 86261               | 1437                | 60.029
Swen                 | 20063               | 4905                | 4.090
Matthew              | 44311               | 7460                | 5.940
Aprilette            | 72666               | 4383                | 16.579
Ella                 | 74876               | 5855                | 12.788
Nanete               | 81279               | 2904                | 27.989
Adorne               | 36852               | 1730                | 21.302
Britta               | 3694                | 9366                | 0.394
Brittne              | 32061               | 8026                | 3.995
Maryjo               | 28399               | 1518                | 18.708
Odell                | 4120                | 2986                | 1.380
Benny                | 72752               | 9250                | 7.865
Fairlie              | 76688               | 7211                | 10.635
Trudey               | 80966               | 966                 | 83.816
Pauly                | 22583               | 432                 | 52.275
Hildagarde           | 25854               | 4259                | 6.070
Sande                | 83165               | 4696                | 17.710
Norris               | 49029               | 7203                | 6.807
Lianna               | 18493               | 9798                | 1.887
Pam                  | 37487               | 7991                | 4.691
Elnar                | 55544               | 752                 | 73.862
Taite                | 89075               | 2188                | 40.711
Rasla                | 2514                | 1094                | 2.298
Isobel               | 30778               | 7327                | 4.201
Meyer                | 37488               | 5363                | 6.990
Ellen                | 14271               | 5530                | 2.581
Brenna               | 42453               | 3262                | 13.014
Claudian             | 14394               | 6487                | 2.219
Aluino               | 31029               | 7529                | 4.121
Sax                  | 15057               | 1282                | 11.745
Florentia            | 90449               | 9863                | 9.171
Perri                | 64702               | 9950                | 6.503
Georgetta            | 77237               | 4780                | 16.158
Bart                 | 12485               | 4506                | 2.771
Scarlett             | 72269               | 642                 | 112.569
Dulsea               | 66158               | 7405                | 8.934
Maximo               | 47139               | 8486                | 5.555
Danie                | 9113                | 6273                | 1.453
Ddene                | 44008               | 3912                | 11.249
Madeline             | 86003               | 8373                | 10.271
Clemence             | 19819               | 8098                | 2.447
Elka                 | 87092               | 5919                | 14.714
Junia                | 41039               | 8009                | 5.124
Freedman             | 61732               | 1371                | 45.027
Jean                 | 64096               | 1313                | 48.816
Carly                | 1675                | 81                  | 20.679
Steve                | 41677               | 4295                | 9.704
Genvieve             | 6114                | 8345                | 0.733
Clarance             | 53649               | 6955                | 7.714
Huey                 | 78050               | 6343                | 12.305
Nessy                | 61482               | 8800                | 6.987
Oran                 | 60011               | 7393                | 8.117
Mel                  | 48232               | 3074                | 15.690
Bernadina            | 96984               | 7170                | 13.526
Julio                | 77989               | 211                 | 369.616
Derrik               | 16739               | 687                 | 24.365
Cornelius            | 63757               | 542                 | 117.633
Rory                 | 71835               | 5993                | 11.986
Jeanne               | 65633               | 3017                | 21.754
Reeta                | 89731               | 9625                | 9.323
Pasquale             | 22345               | 4464                | 5.006
Natala               | 74414               | 2497                | 29.801
Clovis               | 92978               | 8617                | 10.790
Giffy                | 7986                | 9592                | 0.833
Leon                 | 97320               | 328                 | 296.707
Arvie                | 94347               | 1159                | 81.404
Belva                | 65795               | 2290                | 28.731
Audie                | 10384               | 3916                | 2.652
Misty                | 34603               | 3950                | 8.760
Gussi                | 4828                | 5119                | 0.943
Reinold              | 45374               | 2621                | 17.312
Vidovic              | 38730               | 2798                | 13.842
Bree                 | 94029               | 9340                | 10.067
Sheffield            | 43965               | 7586                | 5.796
Maryrose             | 18793               | 8682                | 2.165
Caron                | 81865               | 7136                | 11.472
Sabine               | 27644               | 7015                | 3.941
Miran                | 27091               | 4754                | 5.699
Franciska            | 12856               | 6508                | 1.975
Joane                | 94050               | 618                 | 152.184
Siobhan              | 1984                | 4824                | 0.411
Gerald               | 60271               | 9739                | 6.189
Avram                | 61477               | 3791                | 16.217
Granville            | 82595               | 3655                | 22.598
Durante              | 24203               | 856                 | 28.275
Diandra              | 85777               | 462                 | 185.665
Penrod               | 66790               | 683                 | 97.789
Cortney              | 47112               | 7602                | 6.197
Sallie               | 56571               | 489                 | 115.687
Ninetta              | 84073               | 4925                | 17.071
Peyton               | 49558               | 7778                | 6.372
Carmon               | 16900               | 2245                | 7.528
Gardiner             | 70482               | 7445                | 9.467
Belva                | 17006               | 2730                | 6.229
Carrol               | 29473               | 7383                | 3.992
Christian            | 26449               | 6619                | 3.996
Sharl                | 30194               | 3066                | 9.848
Marianne             | 68212               | 8422                | 8.099
Jaime                | 3759                | 7242                | 0.519
Erastus              | 98614               | 2134                | 46.211
Flore                | 49239               | 5522                | 8.917
Gregoire             | 52517               | 1215                | 43.224
Westley              | 15355               | 7467                | 2.056
Lyell                | 76754               | 1218                | 63.016
Cassi                | 49318               | 6879                | 7.169
Lin                  | 10951               | 8633                | 1.269
Mechelle             | 69797               | 4604                | 15.160
Nickolas             | 21038               | 3781                | 5.564
Corbett              | 55127               | 8944                | 6.164
Crissy               | 1691                | 4045                | 0.418
Muhammad             | 2937                | 5067                | 0.580
Carol                | 82344               | 13                  | 6334.154
Carling              | 52280               | 7732                | 6.762
Dunc                 | 8251                | 2503                | 3.296
Stephan              | 54831               | 4935                | 11.111
Linzy                | 52388               | 4259                | 12.301
Reta                 | 41620               | 9534                | 4.365
Melisse              | 80232               | 9471                | 8.471
Annette              | 89422               | 1469                | 60.873
Grady                | 11291               | 4166                | 2.710
Rebbecca             | 94818               | 733                 | 129.356
Eduino               | 24244               | 2078                | 11.667
Gay                  | 45663               | 3195                | 14.292
Marge                | 43755               | 5839                | 7.494
Kaleena              | 18850               | 8300                | 2.271
Ewell                | 42806               | 8490                | 5.042
Bertrand             | 36202               | 246                 | 147.163
Shanie               | 44276               | 6859                | 6.455
Katerine             | 76763               | 4201                | 18.273
Milty                | 8532                | 2972                | 2.871
Annamaria            | 34379               | 8643                | 3.978
Josee                | 78909               | 6316                | 12.494
Lorianne             | 86593               | 990                 | 87.468
Kippie               | 43014               | 5219                | 8.242
Allard               | 72360               | 9971                | 7.257
Neysa                | 92233               | 748                 | 123.306
Rosalynd             | 97397               | 7153                | 13.616
Idalia               | 88277               | 1837                | 48.055
Nye                  | 94117               | 94                  | 1001.245
Gaynor               | 15037               | 4565                | 3.294
Ibbie                | 88783               | 8938                | 9.933
Lorilee              | 68310               | 8116                | 8.417
Mitchael             | 88523               | 2752                | 32.167
Giulio               | 48787               | 6614                | 7.376
Brig                 | 50740               | 2065                | 24.571
Harcourt             | 11709               | 3371                | 3.473
Kitty                | 97561               | 6762                | 14.428
Vally                | 30262               | 8788                | 3.444
Teodor               | 99461               | 8649                | 11.500
Raf                  | 3396                | 6053                | 0.561
Alfonso              | 26631               | 9843                | 2.706
Sigismondo           | 70634               | 8830                | 7.999
Wells                | 15363               | 1020                | 15.062
Theodoric            | 57660               | 8926                | 6.460
Eugenia              | 81999               | 7300                | 11.233
Emlyn                | 68679               | 6762                | 10.157
Natividad            | 30344               | 9149                | 3.317
Jonathon             | 26971               | 8717                | 3.094
Alyosha              | 2335                | 1536                | 1.520
Tori                 | 31869               | 6020                | 5.294
Ronni                | 59798               | 5714                | 10.465
Marice               | 98693               | 563                 | 175.298
Johann               | 33085               | 5888                | 5.619
Jonis                | 2831                | 6783                | 0.417
Niki                 | 3163                | 7648                | 0.414
Laurie               | 77390               | 35                  | 2211.143
Graig                | 10418               | 302                 | 34.497
Yelena               | 15733               | 3617                | 4.350
Johnny               | 45466               | 250                 | 181.864
Alvan                | 47884               | 8411                | 5.693
Renato               | 51489               | 6079                | 8.470
Katharine            | 42480               | 9207                | 4.614
Boigie               | 79959               | 1345                | 59.449
Chrissy              | 57614               | 643                 | 89.602
Ronalda              | 97151               | 9767                | 9.947
Fanchon              | 90783               | 6364                | 14.265
Nolie                | 89584               | 5986                | 14.966
Leonhard             | 58023               | 3903                | 14.866
Libbey               | 21499               | 3866                | 5.561
Betteann             | 23004               | 4001                | 5.750
Kennie               | 83335               | 1959                | 42.540
Seline               | 83398               | 6031                | 13.828
Estrellita           | 62255               | 1419                | 43.872
Leona                | 70534               | 9555                | 7.382
Chelsey              | 70094               | 8218                | 8.529
Currey               | 44953               | 6149                | 7.311
Cherlyn              | 32212               | 9862                | 3.266
Nelli                | 98805               | 7812                | 12.648
Sibilla              | 6215                | 8902                | 0.698
Curry                | 58089               | 9970                | 5.826
Nita                 | 96118               | 596                 | 161.272
Farris               | 13580               | 5477                | 2.479
Amabel               | 296                 | 1571                | 0.188
Dewitt               | 89923               | 4241                | 21.203
Lewes                | 10159               | 9714                | 1.046
Evyn                 | 86597               | 2353                | 36.803
Eric                 | 30561               | 6451                | 4.737
Gill                 | 23362               | 4654                | 5.020
Shurlocke            | 32532               | 5539                | 5.873
Wallie               | 68204               | 867                 | 78.667
Gerick               | 14928               | 5671                | 2.632
Scot                 | 72912               | 7987                | 9.129
Lorene               | 46442               | 5603                | 8.289
Lorraine             | 35701               | 5193                | 6.875
Van                  | 72078               | 7333                | 9.829
Grantley             | 57201               | 7498                | 7.629
Sutherlan            | 94764               | 3612                | 26.236
Myrna                | 64447               | 8516                | 7.568
Noll                 | 27127               | 7249                | 3.742
Lynnea               | 95913               | 9377                | 10.229
Leonerd              | 48741               | 9874                | 4.936
Henriette            | 53136               | 2297                | 23.133
Brandy               | 99399               | 4522                | 21.981
Renaldo              | 6801                | 247                 | 27.534
Jaynell              | 31458               | 7531                | 4.177
Tann                 | 7066                | 3869                | 1.826
Viva                 | 52315               | 74                  | 706.959
Ellie                | 49984               | 5896                | 8.478
Dario                | 6754                | 7507                | 0.900
Krystal              | 40620               | 8350                | 4.865
Neel                 | 93982               | 2449                | 38.376
Cathlene             | 60341               | 5528                | 10.916
Trude                | 8221                | 7443                | 1.105
Kayla                | 45026               | 5732                | 7.855
Dacia                | 35074               | 3913                | 8.963
Rea                  | 39532               | 9274                | 4.263
Tedd                 | 49169               | 955                 | 51.486
Thorstein            | 11145               | 3271                | 3.407
Alasdair             | 53148               | 1259                | 42.214
Oby                  | 31844               | 5460                | 5.832
Babita               | 50709               | 453                 | 111.940
Diann                | 19431               | 9459                | 2.054
Joela                | 17694               | 8779                | 2.015
Matias               | 82674               | 2540                | 32.549
Anderson             | 66469               | 3241                | 20.509
Thom                 | 58518               | 3452                | 16.952
Silvain              | 43301               | 2008                | 21.564
Randell              | 33428               | 7014                | 4.766
Tobin                | 40762               | 7481                | 5.449
Brittaney            | 58408               | 5578                | 10.471
Ave                  | 54703               | 6877                | 7.954
Durante              | 36738               | 244                 | 150.566
Pinchas              | 3071                | 1066                | 2.881
Chrissy              | 45622               | 1668                | 27.351
Lawry                | 58004               | 2883                | 20.119
Dorine               | 19120               | 9440                | 2.025
Clim                 | 46968               | 2523                | 18.616
Godfry               | 49858               | 5535                | 9.008
Fraser               | 30876               | 4881                | 6.326
Edward               | 43510               | 2273                | 19.142
Thomasine            | 61733               | 994                 | 62.106
Yetta                | 54762               | 4187                | 13.079
Cheryl               | 2090                | 6936                | 0.301
Shell                | 86298               | 4352                | 19.830
Perry                | 64571               | 4039                | 15.987
Gennie               | 44755               | 4861                | 9.207
Morgan               | 63407               | 9848                | 6.439
Alfie                | 30987               | 3002                | 10.322
Drake                | 92192               | 4172                | 22.098
Gipsy                | 49388               | 1175                | 42.032
Carolyn              | 19544               | 3444                | 5.675
Chrisse              | 74176               | 3641                | 20.372
Algernon             | 20793               | 5643                | 3.685
Rickie               | 99010               | 8621                | 11.485
Marylin              | 34856               | 4983                | 6.995
Amye                 | 36268               | 1152                | 31.483
Bradley              | 39546               | 697                 | 56.737
Jackqueline          | 58481               | 523                 | 111.818
Roselin              | 25561               | 272                 | 93.974
Ysabel               | 81640               | 7837                | 10.417
Karlie               | 16500               | 8378                | 1.969
Harmony              | 54674               | 5306                | 10.304
Allsun               | 15742               | 3760                | 4.187
Dianemarie           | 68877               | 6811                | 10.113
Bartlet              | 18070               | 2282                | 7.918
Carney               | 68088               | 2696                | 25.255
Mitzi                | 39109               | 9466                | 4.132
Calla                | 44183               | 446                 | 99.065
Freeman              | 65427               | 6302                | 10.382
Elwira               | 21527               | 9605                | 2.241
Nanete               | 6486                | 5366                | 1.209
Ellary               | 37338               | 6647                | 5.617
Arline               | 23806               | 884                 | 26.930
Marlena              | 46352               | 9                   | 5150.222
Karlotta             | 4795                | 9300                | 0.516
Deny                 | 77891               | 5497                | 14.170
Avrit                | 83457               | 5296                | 15.758
Roley                | 69608               | 8883                | 7.836
Juliane              | 92185               | 4806                | 19.181
Hercules             | 23125               | 5730                | 4.036
Harold               | 91680               | 8440                | 10.863
Kylie                | 66843               | 6431                | 10.394
Rubetta              | 21179               | 1509                | 14.035
Myca                 | 51465               | 3817                | 13.483
Malanie              | 65141               | 7145                | 9.117
Nels                 | 39151               | 6039                | 6.483
Jilleen              | 54945               | 3790                | 14.497
Melessa              | 29744               | 5742                | 5.180
Amelita              | 55505               | 167                 | 332.365
Mag                  | 70311               | 3616                | 19.444
Billye               | 25324               | 150                 | 168.827
Elijah               | 86381               | 4150                | 20.815
Fanni                | 65172               | 8743                | 7.454
Kenn                 | 8931                | 889                 | 10.046
Branden              | 57834               | 71                  | 814.563
Humfried             | 58038               | 9286                | 6.250
Ellette              | 24654               | 7165                | 3.441
Inness               | 95851               | 2791                | 34.343
Dianna               | 80236               | 3675                | 21.833
Dugald               | 51392               | 5821                | 8.829
Coraline             | 91591               | 4468                | 20.499
Davine               | 1693                | 6341                | 0.267
Veradis              | 443                 | 5270                | 0.084
Antonella            | 18369               | 7825                | 2.347
Mallory              | 55904               | 8421                | 6.639
Danny                | 74493               | 9109                | 8.178
Kylila               | 38757               | 206                 | 188.141
Ethan                | 46787               | 2023                | 23.128
Alanah               | 57319               | 9119                | 6.286
Jason                | 65653               | 3148                | 20.855
Noreen               | 15378               | 7432                | 2.069
Ira                  | 49339               | 2261                | 21.822
Hermy                | 17865               | 2231                | 8.008
Christoffer          | 30048               | 4390                | 6.845
Reta                 | 54695               | 7059                | 7.748
Lynnett              | 47403               | 8570                | 5.531
Vita                 | 80674               | 2716                | 29.703
Kathrine             | 24270               | 1712                | 14.176
Cassandre            | 85826               | 7878                | 10.894
Merissa              | 58482               | 6388                | 9.155
Jacqueline           | 82736               | 2373                | 34.866
Korella              | 42582               | 8992                | 4.736
Modestia             | 75200               | 4395                | 17.110
Sunny                | 70534               | 4305                | 16.384
